reviewerID,asin,overall,reviews,sentiment,year,month,day,helpful_rate,polarity,review_len,word_count
A2IBPI20UZIR0U,1384719342,5.0,not much write but exactly supposed filters pop sounds recordings much crisp one lowest prices pop filters amazon might well buy honestly work despite pricinggood,Positive, 2014,02,28,0.0,0.25,162,25
A14VAT5EAX3D9S,1384719342,5.0,product exactly quite affordablei not realized double screened arrived even better expectedas added bonus one screens carries small hint smell old grape candy used buy reminiscents sake cannot stop putting pop filter next nose smelling recording dif needed pop filter will work well expensive ones may even come pleasing aroma like mine didbuy product jake,Positive, 2013,03,16,0.93,0.014285714285714282,356,55
A195EZSQDW3E21,1384719342,5.0,primary job device block breath would otherwise produce popping sound allowing voice pass no noticeable reduction volume high frequencies double cloth filter blocks pops lets voice no coloration metal clamp mount attaches mike stand secure enough keep attached goose neck needs little coaxing stay put itit job well,Positive, 2013,08,28,1.0,0.1675,315,48
A2C00NNG1ZQQG2,1384719342,5.0,nice windscreen protects mxl mic prevents pops thing gooseneck marginally able hold screen position requires careful positioning clamp avoid sagginggood windscreen money,Positive, 2014,02,14,0.0,0.3333333333333333,169,22
A94QU4C90B1AX,1384719342,5.0,pop filter great looks performs like studio filter if youre recording vocals will eliminate pops gets recorded singno pops record vocals,Positive, 2014,02,21,0.0,0.8,136,21
A2A039TZMZHH9Y,B00004Y2UT,5.0,good bought another one love heavy cord gold connectors bass sounds great learned last night coil guess read instructions carefully but no harm done still works greatthe best cable,Positive, 2012,12,21,0.0,0.31875,180,29
A1UPZM995ZAH90,B00004Y2UT,5.0,used monster cables years good reason lifetime warranty worth price alone simple fact cables break but getting replace no cost atmonster standard instrument cable,Positive, 2014,01,19,0.0,0.25,162,24
AJNFQI3YR6XJ5,B00004Y2UT,3.0,use cable run output pedal chain input fender amp bought monster cable hook pedal board thought would try another one update guitar using high end planet waves cable bought found input jacks new monster cable didnt fit fender strat jack little disappointed didnt return stated use output pedal board save money went back planet waves cablei payed back eighties planet waves comes around im getting get pay thought waves lot money back daybut havent bought guitar cable since plus years still workingplanet waves winsdidnt fit fender strat,Neutral, 2012,11,16,0.0,0.017651515151515158,538,87
A3M1PLEYNDEYO8,B00004Y2UT,5.0,perfect epiphone sheraton ii monster cables well constructed several never problems years got one wanted degree pluggreat cable,Positive, 2008,07,6,0.0,0.5,127,18
AMNTZU1YQN1TH,B00004Y2UT,5.0,monster makes best cables lifetime warranty doesnt hurt either isnt top line series but works great bass guitar rig time cant go wrong monster cablesbest instrument cables market,Positive, 2014,01,8,0.0,0.32999999999999996,178,28
A2NYK9KWFMJV4Y,B00004Y2UT,5.0,monster makes wide array cables including high end initially purchased pair ofmonster rock instrument cable feet angled straight plugto use keyboards but came time purchase cables bass guitar thought id pinch pennies glad didi compared cable model expensive models previously purchased aside looks could not detect difference sound swapped back forth guitars keyboards ensuring model used instrument still no differencewhat expensive model going looks not sure higher priced model even sturdy molded stress relief ends model seem make reliable pricier siblingbottom line carefully compare cables using instrument amp if possible making purchase decision may find higher price not necessarily equal higher value even manufacturerone best instrument cables within brand,Positive, 2012,04,19,1.0,0.06543859649122807,767,109
A35QFQI0M46LWO,B00005ML71,4.0,got if needed found dont really need often rarely use if really good see need but keyboard not organit works great but hardly use,Positive, 2014,04,22,0.0,0.3416666666666667,129,24
A2NIT6BKW11XJQ,B00005ML71,3.0,if not use using large sustaining pedal playing piano may appear little awkwardhas get use size,Neutral, 2013,11,17,0.0,0.013392857142857137,95,16
A1C0O09LOLVI39,B00005ML71,5.0,love used yamaha works great would recommend anyoneawesome,Positive, 2013,06,16,0.0,0.65,58,8
A17SLR18TUMULM,B00005ML71,5.0,bought use home studio control midi keyboard wanted doit works,Positive, 2012,12,31,0.0,0.0,62,10
A2PD27UKAD3Q00,B00005ML71,2.0,bought use keyboard wasnt really aware options keyboard pedals doesnt work smoothly pedals acoustic piano id always used doesnt feel either nowhere closein opinion sustain pedal like maudio sustain pedal piano style action similar pedal much better choice price difference dollars feel action much better thing ive found yamaha sustain pedal good taking space drawer keep electric guitar pedalsdefinitely not seasoned piano player,Negative, 2013,08,17,0.0,0.26944444444444443,430,63
